runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,duplicate conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of duplicate conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,num_of_descendants,preprocessing runtime,solver name,instance name
3.80E-05,0,1,20,40,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,5.00E-06,0,0,0,4.00E-06,0,0,0,0,0,0,4.00E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-1.scen:
5.20E-05,0,1,20,40,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-06,0,0,0,0,0,0,0,0,0,0,7.40E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-1.scen:
10.084,101,544,94005,125674,78,78,30,78,9,0,0,9,0,3,531,0,130,4,9.49224,0.00019,0.006032,1.50E-05,0.104775,0.326421,0.005226,0.032698,0.001069,0.056108,0.116124,0.123474,567,2.40E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-2.scen:
2.72464,17,31,12685,14868,78,78,30,78,1,12,0,2,0,2,0,0,28,0,2.54645,3.30E-05,3.60E-05,0.000102,0.000887,0.159055,0,0.004624,4.30E-05,0.006823,0.012821,0.012934,34,2.50E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-2.scen:
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0002,14899,89331,4688174,7183203,-1,44,31,44,2,0,0,1,0,1,39941,0,18002,3287,46.7312,0.049459,0.569365,0.069768,1.04141,7.68563,0.458684,0.140618,0.112989,0.218592,2.81556,3.56995,89394,1.9e-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-3.scen:
0.045143,6,10,1188,1691,44,44,31,44,1,2,0,1,0,2,0,0,8,0,0.040481,9e-06,1.2e-05,8e-06,0.000349,0.003238,0,0.000277,1.3e-05,2.9e-05,0.000618,0.000651,12,1.9e-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-3.scen:
60.0157,1066,6392,354307,509772,-1,48,19,48,135,0,0,1,0,0,4391,0,2542,1445,52.7633,0.006709,0.044364,0.00074,0.433055,6.26069,0.035852,0.154381,0.011786,0.017449,0.233035,0.292371,6810,3.6e-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-4.scen:
60,22207,58737,3476861,6133068,-1,53,29,46,6932,18211,0,1,0,4,9930,0,33865,23586,39.9489,0.076213,0.533374,0.17299,3.10193,9.31866,0.403057,0.406964,0.176473,0.191331,2.68785,3.40187,71853,2.5e-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-5.scen:
60.0001,7134,14268,697054,1193601,-1,53,29,46,16,7129,0,1,0,4,0,0,13391,0,54.4528,0.015069,0.018364,0.035608,0.823243,3.35857,0,0.321425,0.031433,0.038201,0.546494,0.603244,14296,2.5e-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-5.scen:
3.7e-05,0,1,19,45,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,0,0,3e-06,0,0,0,0,0,0,2.5e-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-6.scen:
4.6e-05,0,1,19,45,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,1e-06,0,0,0,0,0,0,0,0,0,0,3.8e-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-6.scen:
1.55532,29,55,10290,13942,78,78,34,67,3,23,0,2,0,3,2,0,61,0,1.35448,0.000507,0.000594,0.000262,0.011329,0.172634,0.00048,0.005006,0.000138,0.002001,0.008441,0.009186,60,2.3e-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-7.scen:
1.61072,35,67,12286,16620,78,78,34,67,3,29,0,2,0,3,0,0,70,0,1.39953,0.000507,9.2e-05,0.000224,0.011168,0.180299,0,0.006272,0.000161,0.002571,0.010222,0.010491,71,1.8e-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-7.scen:
4.9e-05,0,1,15,37,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,6e-06,0,0,0,4e-06,0,0,0,0,0,0,1.7e-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-8.scen:
3e-05,0,1,15,37,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,1e-06,0,0,0,0,0,0,0,0,0,0,2.5e-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-8.scen:
0.037544,11,28,702,1288,23,23,13,23,1,6,0,1,0,1,10,0,15,0,0.033125,1.7e-05,0.000163,1.3e-05,0.000528,0.002323,0.000105,0.000273,4.8e-05,7e-05,0.000691,0.000923,30,3.9e-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-9.scen:
0.05304,16,30,861,1583,23,23,13,23,1,12,0,1,0,2,0,0,25,0,0.047256,2.6e-05,3.4e-05,1.8e-05,0.000967,0.003338,0,0.000369,3.4e-05,5.2e-05,0.000623,0.00072,32,1.9e-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-9.scen:
0.00055,1,2,311,405,34,34,29,34,0,0,0,1,0,0,0,0,1,0,0.000257,1e-06,1.5e-05,0,1.8e-05,0,1.2e-05,9e-06,2e-06,4e-06,0.000159,0.00017,2,2.7e-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-10.scen:
0.000504,1,2,311,405,34,34,29,34,0,0,0,1,0,0,0,0,1,0,0.000243,1e-06,2e-06,0,1.6e-05,0,0,1.5e-05,2e-06,3e-06,0.000159,0.000163,2,2.9e-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-10.scen:
60.0009,1729,10370,1140131,1520963,-1,51,26,51,259,0,0,1,0,0,8464,0,4734,2088,56.7333,0.011595,0.080002,0,1.79528,0,0.065224,0.534726,0.013008,0.029581,0.69662,0.802472,11148,1.9e-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-11.scen:
0.018689,3,5,944,1177,51,51,26,51,0,0,0,2,0,1,0,0,3,0,0.013861,6e-06,1.1e-05,0,0.000456,0.003007,0,0.000359,1.3e-05,2.8e-05,0.000848,0.00088,6,4.4e-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-11.scen:
0.101455,44,224,9830,17599,34,34,23,30,14,7,0,1,0,2,180,0,111,45,0.061157,0.000244,0.001407,0.00017,0.013721,0.013164,0.001006,0.002086,0.000269,0.000532,0.006858,0.008868,279,2.6e-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-12.scen:
0.028587,7,14,790,1264,33,33,23,30,2,4,0,1,0,2,0,0,20,0,0.021879,9.6e-05,1.5e-05,1.1e-05,0.00089,0.004818,0,0.00019,1.5e-05,2.8e-05,0.000469,0.000521,16,2.2e-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-12.scen:
0.000288,1,3,92,184,30,30,26,30,0,0,0,1,0,0,0,0,1,0,0.000114,1e-06,1.6e-05,0,1.5e-05,0,1e-05,1.8e-05,2e-06,4e-06,4.5e-05,5.7e-05,2,1.6e-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-13.scen:
0.000239,1,3,92,184,30,30,26,30,0,0,0,1,0,0,0,0,1,0,0.000104,2e-06,4e-06,0,1.5e-05,0,0,7e-06,1e-06,4e-06,4.6e-05,5.4e-05,2,2.6e-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-13.scen:
60.0042,158,944,29396,49063,-1,92,20,92,0,0,0,1,0,0,943,0,497,2,54.8971,0.145155,0.005364,4.1e-05,0.030379,4.88225,0.003861,0.014668,0.000977,0.002267,0.020923,0.028468,944,1.6e-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-14.scen:
60.0012,323,644,194256,241433,-1,98,20,92,0,316,0,2,0,5,0,0,928,1,56.6299,0.00336,0.000923,0.011491,0.390396,2.44856,0,0.093556,0.003449,0.22431,0.35182,0.354684,646,2.6e-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-14.scen:
0.000299,1,2,125,183,23,23,20,23,0,0,0,1,0,0,0,0,1,0,0.000132,2e-06,1e-05,0,2.6e-05,0,6e-06,6e-06,1e-06,2e-06,5.3e-05,6.2e-05,2,2.5e-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-15.scen:
0.000284,1,2,125,183,23,23,20,23,0,0,0,1,0,0,0,0,1,0,0.000128,2e-06,1e-06,0,2.8e-05,0,0,9e-06,1e-06,2e-06,5.8e-05,6.4e-05,2,2.7e-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-15.scen:
