runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,duplicate conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of duplicate conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,num_of_descendants,preprocessing runtime,solver name,instance name
0.000526,1,2,311,405,34,34,29,34,0,0,0,1,0,0,0,0,1,0,0.00026,2.00E-06,3.00E-06,0,1.70E-05,0,0,1.10E-05,2.00E-06,5.00E-06,0.000168,0.000172,2,2.50E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-10.scen:
60.002,1929,11570,1271213,1694992,-1,51,26,51,291,0,0,1,0,0,9432,0,5313,2361,56.6006,0.011796,0.083371,0,1.91102,0,0.067795,0.537246,0.013729,0.029581,0.707633,0.817903,12444,1.80E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-11.scen:
0.011349,3,5,944,1177,51,51,26,51,0,0,0,2,0,1,0,0,3,0,0.008197,4.00E-06,5.00E-06,0,0.000244,0.002244,0,0.000153,4.00E-06,1.40E-05,0.000429,0.000442,6,2.40E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-11.scen:
0.109214,44,224,9830,17599,34,34,23,30,14,7,0,1,0,2,180,0,111,45,0.065251,0.00026,0.00145,0.000188,0.015007,0.014695,0.001061,0.002212,0.000301,0.000556,0.00732,0.009432,279,1.70E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-12.scen:
0.038431,7,14,790,1264,33,33,23,30,2,4,0,1,0,2,0,0,20,0,0.030256,0.00011,2.20E-05,1.70E-05,0.001213,0.005727,0,0.000255,1.80E-05,3.30E-05,0.00056,0.000623,16,2.20E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-12.scen:
0.000417,1,3,92,184,30,30,26,30,0,0,0,1,0,0,0,0,1,0,0.000178,2.00E-06,2.20E-05,0,1.80E-05,0,1.40E-05,1.30E-05,2.00E-06,7.00E-06,7.60E-05,9.50E-05,2,3.10E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-13.scen:
0.000338,1,3,92,184,30,30,26,30,0,0,0,1,0,0,0,0,1,0,0.000154,2.00E-06,4.00E-06,0,1.70E-05,0,0,1.20E-05,2.00E-06,5.00E-06,6.70E-05,7.50E-05,2,4.20E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-13.scen:
60.0036,162,968,30215,50390,-1,92,20,92,0,0,0,1,0,0,967,0,516,2,54.9078,0.145556,0.005335,3.50E-05,0.03175,4.86899,0.003848,0.015167,0.001017,0.002096,0.020643,0.028188,968,2.90E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-14.scen:
60.0019,351,700,211350,262229,-1,98,20,92,0,344,0,2,0,5,0,0,1014,1,56.6698,0.002883,0.000969,0.010406,0.402308,2.40204,0,0.094646,0.003404,0.214442,0.343221,0.346204,702,2.40E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-14.scen:
0.000285,1,2,125,183,23,23,20,23,0,0,0,1,0,0,0,0,1,0,0.000127,1.00E-06,9.00E-06,0,2.50E-05,0,6.00E-06,6.00E-06,1.00E-06,2.00E-06,5.30E-05,6.00E-05,2,2.10E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-15.scen:
0.000396,1,2,125,183,23,23,20,23,0,0,0,1,0,0,0,0,1,0,0.000183,2.00E-06,3.00E-06,0,4.10E-05,0,0,1.00E-05,2.00E-06,4.00E-06,8.60E-05,9.30E-05,2,3.20E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-15.scen:
5.30E-05,0,1,22,55,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,8.00E-06,0,0,0,6.00E-06,0,0,0,0,0,0,5.60E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-16.scen:
6.00E-05,0,1,22,55,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-06,0,0,0,0,0,0,0,0,0,0,2.80E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-16.scen:
60.0052,1038,3840,989671,1212353,-1,95,33,83,177,476,0,14,0,29,2727,0,2055,533,53.7093,0.116242,0.04322,0.0127,0.843849,4.17547,0.036789,0.191294,0.013018,0.223267,0.774835,0.828437,4399,2.50E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-17.scen:
60.0008,530,1059,352117,434479,-1,95,33,83,37,524,0,2,0,4,0,0,1500,1,54.4843,0.005466,0.001512,0.016362,0.426969,4.49771,0,0.142959,0.003966,0.138144,0.343708,0.348189,1127,1.90E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-17.scen:
60.0006,721,4133,259485,394124,-1,62,25,62,0,0,0,1,0,1,4128,0,1092,1,53.9085,0.001535,0.036463,0.002086,0.220459,5.13436,0.030853,0.065197,0.009509,0.390375,0.572921,0.619291,4318,2.50E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-18.scen:
60.0008,1655,3310,1289981,1492600,-1,72,25,62,0,1202,0,1,0,452,0,0,2034,974,51.3848,0.006812,0.004272,0.020134,0.437813,6.47054,0,0.266789,0.009222,0.518881,1.2351,1.2485,3310,2.90E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-18.scen:
0.000252,1,3,88,174,22,22,20,22,0,0,0,1,0,0,0,0,1,0,0.00011,1.00E-06,1.40E-05,0,1.20E-05,0,9.00E-06,9.00E-06,2.00E-06,3.00E-06,4.30E-05,5.60E-05,2,2.50E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-19.scen:
0.000252,1,3,88,174,22,22,20,22,0,0,0,1,0,0,0,0,1,0,0.000114,2.00E-06,2.00E-06,0,1.30E-05,0,0,1.00E-05,1.00E-06,4.00E-06,4.90E-05,5.60E-05,2,2.30E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-19.scen:
60.0016,1995,11962,1248260,1694109,-1,66,29,66,0,0,0,1,0,1,11960,0,2306,0,53.8682,0.003238,0.11637,0.000786,1.45011,2.3381,0.099126,0.470788,0.030266,0.736464,1.59406,1.73968,11962,2.60E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-20.scen:
60.0006,3129,6256,1187099,1565046,-1,66,29,66,0,3124,0,3,0,2,0,0,3607,0,54.4701,0.004884,0.007138,0.02372,1.09111,2.17745,0,0.658315,0.024415,0.594358,1.31743,1.33998,6258,4.40E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-20.scen:
0.003941,3,5,99,185,18,18,9,18,0,0,0,2,0,1,0,0,3,0,0.003479,3.00E-06,2.00E-05,0,6.70E-05,0.000178,1.40E-05,2.20E-05,6.00E-06,8.00E-06,7.50E-05,0.000104,6,1.80E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-21.scen:
0.003452,3,5,99,185,18,18,9,18,0,0,0,2,0,1,0,0,3,0,0.003057,3.00E-06,3.00E-06,0,6.40E-05,0.000171,0,1.70E-05,6.00E-06,8.00E-06,7.30E-05,8.40E-05,6,2.20E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-21.scen:
60.0005,3971,23822,1123927,1678659,-1,35,16,35,4,0,0,1,0,0,23726,0,8048,3875,50.9915,0.021703,0.137498,0.007674,2.57618,4.73669,0.105923,0.378136,0.034732,0.053742,0.77419,0.965456,23834,3.20E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-22.scen:
5.20E-05,0,1,18,45,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,5.00E-06,0,0,0,4.00E-06,0,0,0,0,0,0,4.10E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-23.scen:
4.40E-05,0,1,18,45,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-06,0,0,0,0,0,0,0,0,0,0,3.80E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-23.scen:
0.079087,17,34,5104,7071,46,46,19,33,8,15,0,1,0,1,2,0,30,0,0.051787,5.80E-05,0.000317,7.60E-05,0.001222,0.01891,0.000231,0.002006,6.00E-05,0.000107,0.004019,0.00446,42,2.70E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-24.scen:
0.088878,17,34,5104,7071,46,46,19,33,8,15,0,1,0,1,0,0,30,0,0.058432,5.80E-05,5.10E-05,7.50E-05,0.001194,0.022793,0,0.001874,5.90E-05,0.000118,0.00377,0.003943,42,2.60E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-24.scen:
0.028039,10,25,2694,3826,53,53,37,46,0,2,0,4,0,2,8,0,20,0,0.015399,0.000122,0.000181,1.40E-05,0.001848,0.007768,0.000138,0.000647,2.80E-05,6.70E-05,0.001705,0.001946,28,1.80E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-25.scen:
0.02656,14,25,2746,3884,53,53,37,46,0,8,0,4,0,2,0,0,22,0,0.014221,0.000126,2.80E-05,3.20E-05,0.001404,0.007678,0,0.000839,3.10E-05,7.10E-05,0.001794,0.001887,28,4.30E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-25.scen:
