runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,duplicate conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of duplicate conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,num_of_descendants,preprocessing runtime,solver name,instance name
3.50E-05,0,1,20,40,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,6.00E-06,0,0,0,4.00E-06,0,0,0,0,0,0,2.40E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-1.scen:
4.40E-05,0,1,20,40,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-06,0,0,0,0,0,0,0,0,0,0,3.80E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-1.scen:
10.7402,101,544,94005,125674,78,78,30,78,9,0,0,9,0,3,531,0,130,4,10.067,0.000217,0.006574,1.20E-05,0.115982,0.378771,0.00573,0.035659,0.001341,0.065261,0.129621,0.137617,567,3.60E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-2.scen:
2.77132,17,31,12685,14868,78,78,30,78,1,12,0,2,0,2,0,0,28,0,2.59294,3.80E-05,3.30E-05,0.000114,0.000904,0.158816,0,0.004457,5.30E-05,0.007436,0.013428,0.013539,34,2.10E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-2.scen:
60.0004,14584,87441,4595091,7039408,-1,44,31,44,2,0,0,1,0,1,39116,0,17589,3206,46.7608,0.049621,0.56828,0.066128,1.04937,7.67924,0.458678,0.143577,0.112968,0.212491,2.78745,3.54347,87504,2.90E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-3.scen:
0.057088,6,10,1188,1691,44,44,31,44,1,2,0,1,0,2,0,0,8,0,0.050351,1.10E-05,1.60E-05,8.00E-06,0.000556,0.004508,0,0.000435,1.70E-05,4.10E-05,0.000991,0.001043,12,3.50E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-3.scen:
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0013,1111,6662,369102,530891,-1,48,19,48,139,0,0,1,0,0,4514,0,2640,1489,52.9448,0.00654,0.045272,0.000637,0.441079,6.06493,0.036477,0.149105,0.012078,0.016906,0.232682,0.293007,7092,3.30E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-4.scen:
1.26511,23,43,6764,9199,48,48,19,48,1,18,0,2,0,2,0,0,36,0,1.15832,4.30E-05,4.70E-05,0.000114,0.002386,0.09588,0,0.003356,6.60E-05,0.000589,0.00423,0.004379,46,2.10E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-4.scen:
60.0002,22862,60260,3565732,6290849,-1,53,29,46,7119,18797,0,1,0,4,10233,0,35233,23999,40.5086,0.073836,0.516755,0.145377,3.09864,9.07739,0.390835,0.399617,0.168893,0.177702,2.57083,3.2614,73703,1.70E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-5.scen:
