runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,duplicate conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of duplicate conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,num_of_descendants,preprocessing runtime,solver name,instance name
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0001,3827,37896,1923422,2984675,-1,93,43,93,22,0,0,29,0,15,37791,0,7905,177,54.1723,0.241426,0.404907,0.000382,1.85505,0.170728,0.347672,0.513843,0.067942,0.972477,2.31618,2.80833,37943,2.90E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-2.scen:
60.0026,1869,3729,1412704,1652394,-1,107,43,93,1,1761,0,13,0,95,0,0,2672,130,53.9054,0.0083,0.005566,0.022895,0.703342,3.26871,0,0.499477,0.017436,0.543999,1.37116,1.38631,3740,2.20E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-2.scen:
60.0004,5250,52484,4823912,6751252,-1,89,49,88,164,0,0,1,0,1,4600,0,6460,75738,34.0014,2.92891,0.490677,0.22184,11.0022,5.57789,0.390948,0.077793,0.082427,0.635634,3.60892,4.23789,53737,2.60E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-3.scen:
60.005,3261,6521,1206095,1577285,-1,96,49,88,30,3242,0,2,0,17,0,0,11290,14,49.9626,0.016161,0.010288,0.040512,0.972467,6.78561,0,0.459455,0.024331,0.356981,1.10278,1.13123,6564,2.40E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-3.scen:
60,770,7669,593344,807562,-1,128,46,128,81,0,0,2,0,2,6395,0,3956,5575,21.357,34.7693,0.099631,0.000152,2.7554,0.165743,0.087013,0.115273,0.012703,0.183303,0.55662,0.6771,8402,2.60E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-4.scen:
60.0006,2019,4032,1318292,1558032,-1,131,46,128,150,1997,0,7,0,15,0,0,6547,346,51.863,0.17007,0.006741,0.045373,1.04519,5.19539,0,0.336715,0.011401,0.36474,1.09366,1.11201,4288,2.40E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-4.scen:
60.0006,1853,9522,1230207,1592503,-1,89,42,83,14,0,0,1,0,1125,5448,0,1801,17431,33.042,6.73387,0.094352,0.023447,4.18528,14.5788,0.076426,0.06478,0.012667,0.184471,0.987009,1.10649,9594,3.10E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-5.scen:
60.0014,3177,6354,949323,1292846,-1,97,42,83,6,3126,0,1,0,50,0,0,6271,566,52.8589,0.014815,0.009387,0.0436,0.748133,4.66973,0,0.284042,0.019887,0.446707,1.06664,1.09372,6364,3.10E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-5.scen:
60.0007,518,5172,276303,429650,-1,87,38,87,29,0,0,1,0,0,3013,0,1937,3854,57.0334,0.834431,0.037966,0.003558,0.624734,1.16918,0.029506,0.038313,0.00618,0.016031,0.182769,0.233326,5434,2.60E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-6.scen:
60.0004,5411,10821,2051492,2614734,-1,98,38,87,655,5354,0,2,0,55,0,0,13072,171,49.2645,0.078184,0.01953,0.074801,1.0331,6.28821,0,0.655871,0.042523,0.4149,1.70296,1.7551,11573,2.40E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-6.scen:
8.28012,137,323,105549,127288,149,149,56,132,20,102,0,7,0,19,72,0,600,101,6.67456,0.18308,0.005733,0.004164,0.221219,1.04296,0.004872,0.028158,0.000987,0.022715,0.084973,0.091859,389,2.90E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-7.scen:
8.41517,254,493,123500,152496,149,149,56,132,18,206,0,9,0,38,0,0,989,19,6.33353,0.169595,0.001,0.005828,0.326801,1.3396,0,0.042085,0.001663,0.038451,0.113895,0.11646,526,2.30E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-7.scen:
60,32264,322615,27379935,40041463,-1,106,35,63,4157,0,0,2,0,1,326971,0,152,188046,1.82944,13.5433,3.07277,0.251405,14.7572,2.96066,2.55612,0.017306,0.443689,2.23883,19.4617,23.295,326991,3.00E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-8.scen:
2.6152,140,274,51173,67173,127,127,35,63,30,116,0,5,0,18,0,0,397,2,1.9359,0.003263,0.00052,0.001503,0.027239,0.545385,0,0.018284,0.000889,0.008116,0.039826,0.041197,310,3.00E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-8.scen:
60.0013,478,4772,198242,327325,-1,100,32,84,0,0,0,1,0,0,4771,0,849,3490,54.041,1.09585,0.031705,0.000737,0.685945,3.90184,0.025258,0.04636,0.005824,0.011335,0.136718,0.1792,4772,3.1e-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-9.scen:
60.0042,805,1608,249996,337976,-1,109,32,84,1,796,0,2,0,7,0,0,1369,4,56.6686,0.069177,0.002128,0.012968,0.379069,2.2319,0,0.132605,0.005582,0.269935,0.423027,0.42936,1612,2.5e-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-9.scen:
60.0006,9429,93993,5392260,8388942,-1,62,40,60,2471,6,0,10,0,20,73851,0,39151,12353,35.4538,0.135101,0.73817,0.054806,4.56823,12.2361,0.586529,1.13577,0.157736,0.252591,3.52224,4.48795,106583,2.7e-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-10.scen:
0.576987,101,187,18514,26130,66,66,40,60,2,39,0,16,0,45,0,0,266,2,0.363612,0.007766,0.000282,0.000132,0.022574,0.160499,0,0.005762,0.000261,0.000516,0.012193,0.012987,202,3.2e-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-10.scen:
60.0001,13302,132303,16928923,21466780,-1,107,34,87,1,0,0,2,0,5,5858,0,839,55758,16.704,0.948508,1.27819,0.049488,25.6261,1.71426,1.05614,0.03359,0.351236,1.30569,11.17,12.7759,132969,3.1e-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-11.scen:
6.9097,83,161,49954,61090,109,109,34,87,4,68,0,4,0,10,0,0,249,4,6.27284,0.011259,0.000264,0.002183,0.034793,0.506482,0,0.01799,0.000362,0.027875,0.056729,0.057465,171,2.9e-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-11.scen:
60.0002,32527,324864,14068997,24028935,-1,52,31,43,1628,0,0,7,0,43,265870,0,32351,260334,19.4434,0.586007,1.78049,0.333063,15.4849,7.12858,1.2761,0.589791,0.346977,0.654502,9.4892,12.048,332885,3.1e-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-12.scen:
4.11672,2172,4319,258976,399501,57,57,31,43,628,1644,0,24,0,503,0,0,8382,1414,2.58515,0.014515,0.006781,0.015658,0.316833,0.773816,0,0.060123,0.007576,0.009945,0.175778,0.196379,5134,2.3e-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-12.scen:
60.0004,2601,25978,1439188,2479244,-1,73,50,73,812,0,0,1,0,3,22759,0,9626,3703,52.4575,0.092646,0.260544,0.003631,3.47421,1.33681,0.214101,0.575651,0.046052,0.38299,1.36214,1.69315,33325,3.1e-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-13.scen:
0.043464,7,12,1136,1639,73,73,50,73,0,0,0,3,0,4,0,0,12,0,0.038495,0.001583,1.3e-05,1e-06,0.000626,0.001593,0,0.000237,1.3e-05,0.000157,0.000753,0.000794,14,2.9e-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-13.scen:
60.0018,301,1688,285912,367417,-1,127,45,125,150,0,0,2,0,163,1231,0,569,904,55.4829,0.807199,0.020017,0.005865,0.453307,2.82942,0.017253,0.019952,0.003283,0.164727,0.339259,0.363937,1858,2.2e-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-14.scen:
60.001,302,599,195727,234523,-1,141,45,125,0,283,0,4,0,15,0,0,969,22,56.5771,0.043083,0.00112,0.012831,0.387342,2.52772,0,0.07338,0.002763,0.192706,0.320335,0.323241,604,2.5e-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-14.scen:
0.031605,5,7,497,719,48,48,22,48,0,0,0,4,0,1,1,0,6,0,0.029383,0.000551,3.8e-05,0,0.00017,0.00098,2.5e-05,7.6e-05,5e-06,1.8e-05,0.000268,0.000321,10,2.4e-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-15.scen:
0.030781,5,7,497,719,48,48,22,48,0,0,0,4,0,1,0,0,6,0,0.02871,0.000496,8e-06,0,0.000161,0.000965,0,7.1e-05,7e-06,1.4e-05,0.000261,0.000289,10,2.5e-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-15.scen:
60.0005,73522,735100,23537264,43346520,-1,43,33,40,42451,6,0,2,0,7,54,0,8654,475077,8.94643,0.964409,5.34454,0.20573,4.73977,9.96507,3.76436,0.046511,1.22656,2.06676,18.4894,26.2951,1137848,3e-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-16.scen:
18.5143,19366,38669,1932289,3237633,49,49,33,40,4104,17680,0,5,0,1680,0,0,45609,2099,10.8485,0.037414,0.051369,0.079504,0.78846,3.40682,0,0.51623,0.075442,0.086029,1.31279,1.46613,44037,6.5e-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-16.scen:
