runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,duplicate conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of duplicate conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,num_of_descendants,preprocessing runtime,solver name,instance name
60.0301,176,353,298033,411075,-1,1245,1188,1238,3,6,12,3,0,155,17,0,176,288,52.5989,0.042248,0.037048,0.014694,0.001985,6.86431,0.034342,0.106772,0.000548,0.035905,0.348949,0.388102,355,0.010774,WDG+GR+GC+M+BP+DUP with AStar,input/scen-random-32-32-20/random-32-32-20-random-1.scen:
60.3846,120,241,274724,366545,-1,1244,1188,1238,0,0,0,0,0,120,0,0,167,183,54.0679,0.029486,0.001907,0.014092,0.001693,5.815,0,0.09241,0.000344,0.065767,0.351549,0.355028,240,0.005888,WDG+GR+GC+M+BP with AStar,input/scen-random-32-32-20/random-32-32-20-random-1.scen:
1.45515,1014,2027,344006,804720,1227,1227,1202,1218,729,613,177,143,0,80,0,0,887,1835,0.464567,0.014983,0.345701,0.039926,0.046247,0.111888,0.327429,0.02968,0.004661,0.043979,0.340906,0.698954,3264,0.006056,WDG+GR+GC+M+BP+DUP with AStar,input/scen-random-32-32-20/random-32-32-20-random-2.scen:
1.16452,1014,2027,344006,804720,1227,1227,1202,1218,729,613,177,143,0,80,0,0,887,1835,0.474864,0.014363,0.016808,0.04076,0.046605,0.124509,0,0.033233,0.004507,0.044224,0.352232,0.381926,3264,0.007271,WDG+GR+GC+M+BP with AStar,input/scen-random-32-32-20/random-32-32-20-random-2.scen:
55.6876,42355,84711,16755008,39925403,1139,1139,1125,1130,23011,32479,941,4286,0,4649,0,0,15674,69920,13.7365,0.639574,10.3998,0.967216,6.5438,2.79216,9.68341,0.766489,0.183885,2.04053,17.5863,28.5308,120190,0.007215,WDG+GR+GC+M+BP+DUP with AStar,input/scen-random-32-32-20/random-32-32-20-random-3.scen:
38.0784,42355,84711,16755008,39925403,1139,1139,1125,1130,23011,32479,941,4286,0,4649,0,0,15674,69920,11.1204,0.516924,0.548141,0.731274,5.52708,2.30901,0,0.658199,0.141989,1.62415,14.9994,16.0091,120190,0.005899,WDG+GR+GC+M+BP with AStar,input/scen-random-32-32-20/random-32-32-20-random-3.scen:
47.6027,15724,31449,8194438,18046290,1168,1168,1136,1158,6361,11285,3723,289,0,427,2,0,20092,22404,23.5208,0.229743,4.37936,1.35273,0.34125,6.93206,4.14738,1.25983,0.075631,1.04776,8.16086,12.7072,42506,0.005858,WDG+GR+GC+M+BP+DUP with AStar,input/scen-random-32-32-20/random-32-32-20-random-4.scen:
43.8095,15727,31455,8194603,18047056,1168,1168,1136,1158,6361,11285,3723,291,0,428,0,0,20088,22412,23.5159,0.218114,0.21704,1.38759,0.343439,7.15231,0,1.27828,0.076551,1.02633,8.24417,8.63321,42512,0.006023,WDG+GR+GC+M+BP with AStar,input/scen-random-32-32-20/random-32-32-20-random-4.scen:
60.0003,92482,184965,17372223,47600043,-1,1342,1307,1331,22419,62350,3475,15613,0,11044,0,0,8995,228723,7.05263,1.49358,20.9554,1.42841,3.60766,3.14967,19.6823,0.134393,0.290342,2.26579,17.8408,39.6382,226067,0.005882,WDG+GR+GC+M+BP+DUP with AStar,input/scen-random-32-32-20/random-32-32-20-random-5.scen:
60.0001,139788,279577,26968140,73389532,-1,1342,1307,1331,35290,93410,5258,23636,0,17484,0,0,12430,354059,9.81333,2.06394,1.74222,2.1948,5.60515,4.64816,0,0.17694,0.433241,3.20125,27.2161,30.2772,344111,0.005855,WDG+GR+GC+M+BP with AStar,input/scen-random-32-32-20/random-32-32-20-random-5.scen:
