runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,duplicate conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of duplicate conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,num_of_descendants,preprocessing runtime,solver name,instance name
0.054897,16,30,871,1609,32,32,22,32,1,12,0,1,0,2,0,0,25,0,0.04922,3.20E-05,3.40E-05,1.60E-05,0.000965,0.00325,0,0.000341,3.70E-05,5.10E-05,0.000604,0.000703,32,2.90E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-9.scen:
0.007354,3,5,393,645,52,52,39,52,0,0,0,2,0,1,1,0,4,0,0.005418,3.80E-05,3.50E-05,0,0.000715,0.000681,2.90E-05,0.000129,6.00E-06,1.40E-05,0.000211,0.00025,6,2.20E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-10.scen:
0.005988,3,5,393,645,52,52,39,52,0,0,0,2,0,1,0,0,4,0,0.004321,3.80E-05,7.00E-06,0,0.000575,0.00066,0,8.40E-05,6.00E-06,1.40E-05,0.000203,0.000222,6,2.60E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-10.scen:
60.0004,17362,138884,23050474,27906245,-1,81,30,63,1,0,0,1,0,1,19881,0,674,147221,4.80583,1.88888,1.37986,0.617669,26.6597,5.01309,1.16827,0.02753,0.242153,1.36277,15.1754,16.9181,138891,2.60E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-11.scen:
1.56551,39,76,18404,22843,82,82,30,63,3,33,0,1,0,4,0,0,108,0,1.3052,0.00088,9.10E-05,0.000488,0.019958,0.213935,0,0.007708,0.000176,0.003975,0.014128,0.014417,80,2.70E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-11.scen:
60,112716,544462,19675325,34680027,-1,44,24,36,38971,58662,0,4,0,270,92511,0,32550,225771,14.1987,0.242089,3.21921,0.319746,9.05551,9.59706,2.29707,0.456432,0.924264,1.25535,14.8322,19.5215,633309,2.70E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-12.scen:
0.083439,32,61,3047,5072,44,44,24,36,7,17,0,3,0,11,0,0,94,7,0.054869,0.000875,8.30E-05,7.50E-05,0.003544,0.019754,0,0.000893,8.00E-05,0.000136,0.002144,0.002412,70,2.30E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-12.scen:
0.001013,2,5,191,365,41,41,37,41,0,0,0,1,0,1,1,0,3,0,0.000524,1.20E-05,2.80E-05,0,3.20E-05,0.000158,1.90E-05,3.10E-05,2.00E-06,8.00E-06,0.000106,0.000138,4,2.70E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-13.scen:
0.001359,2,5,191,365,41,41,37,41,0,0,0,1,0,1,0,0,3,0,0.00071,1.20E-05,6.00E-06,0,8.90E-05,0.000235,0,6.30E-05,4.00E-06,8.00E-06,0.000161,0.000174,4,2.90E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-13.scen:
60.0008,505,4028,900787,1079062,-1,129,37,117,3,0,0,1,0,1,1308,0,1228,3795,47.3217,1.41481,0.046585,0.017445,3.06092,7.13347,0.039469,0.049388,0.012823,0.233118,0.777036,0.834668,4039,2.30E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-14.scen:
60.0017,349,696,241024,287449,-1,133,37,117,2,336,0,2,0,11,0,0,1018,3,55.9427,0.028272,0.001057,0.010727,0.413404,3.14442,0,0.095542,0.00261,0.169263,0.310945,0.313964,701,2.10E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-14.scen:
0.000677,2,3,135,210,31,31,21,28,0,0,0,2,0,0,0,0,2,0,0.000291,2.50E-05,2.10E-05,0,9.90E-05,0,1.40E-05,1.10E-05,4.00E-06,9.00E-06,0.000103,0.000125,4,3.90E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-15.scen:
0.000423,2,3,135,210,31,31,21,28,0,0,0,2,0,0,0,0,2,0,0.000176,4.30E-05,3.00E-06,0,4.10E-05,0,0,6.00E-06,3.00E-06,6.00E-06,9.00E-05,9.80E-05,4,2.30E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-15.scen:
0.002072,3,7,188,416,33,33,30,33,0,0,0,1,0,2,2,0,4,0,0.001554,4.00E-06,3.70E-05,2.00E-06,7.40E-05,0.000129,2.90E-05,3.50E-05,4.00E-06,1.20E-05,0.000113,0.000157,6,2.30E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-16.scen:
0.00203,3,7,187,414,33,33,30,33,0,0,0,1,0,2,0,0,5,0,0.001529,5.00E-06,5.00E-06,2.00E-06,0.000112,0.000126,0,4.30E-05,3.00E-06,1.00E-05,0.000105,0.000123,6,1.90E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-16.scen:
60.0031,322,1215,270987,337310,-1,119,50,108,48,0,0,1,0,180,307,0,958,1387,52.3994,0.077701,0.014343,0.019595,0.840133,6.25974,0.011908,0.026224,0.003393,0.130882,0.289911,0.308144,1577,2.70E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-17.scen:
60.0011,930,1858,914020,1044786,-1,136,50,108,82,914,0,1,0,15,0,0,3910,178,46.3136,0.010564,0.003273,0.049422,1.07378,11.4106,0,0.270745,0.005517,0.162217,0.66854,0.67735,1975,2.40E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-17.scen:
