runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,duplicate conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of duplicate conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,num_of_descendants,preprocessing runtime,solver name,instance name
5.20E-05,0,1,20,40,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,7.00E-06,0,0,0,5.00E-06,0,0,0,0,0,0,2.40E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-1.scen:
4.60E-05,0,1,20,40,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-06,0,0,0,0,0,0,0,0,0,0,3.90E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-1.scen:
11.6115,101,544,94005,125674,78,78,30,78,9,0,0,9,0,3,531,0,130,4,10.8764,0.000239,0.007026,9.00E-06,0.124733,0.39662,0.00619,0.039978,0.001695,0.088575,0.159182,0.167859,567,2.80E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-2.scen:
2.81969,17,31,12685,14868,78,78,30,78,1,12,0,2,0,2,0,0,28,0,2.63606,3.40E-05,3.80E-05,0.000151,0.000989,0.163174,0,0.004647,4.90E-05,0.00793,0.01394,0.014058,34,2.60E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-2.scen:
60.0005,14919,89451,4693624,7191806,-1,44,31,44,2,0,0,1,0,1,39994,0,18033,3291,46.767,0.048695,0.574412,0.069246,1.05916,7.6516,0.464493,0.1409,0.113454,0.212877,2.78671,3.54832,89514,1.70E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-3.scen:
0.04925,6,10,1188,1691,44,44,31,44,1,2,0,1,0,2,0,0,8,0,0.043824,1.00E-05,1.10E-05,7.00E-06,0.000349,0.004003,0,0.00028,1.20E-05,2.80E-05,0.000616,0.000648,12,2.50E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-3.scen:
60.0008,1111,6662,369102,530891,-1,48,19,48,139,0,0,1,0,0,4514,0,2642,1490,52.9288,0.006573,0.045146,0.000711,0.441218,6.0785,0.036355,0.149262,0.012283,0.016973,0.233747,0.294108,7092,1.80E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-4.scen:
1.28915,23,43,6764,9199,48,48,19,48,1,18,0,2,0,2,0,0,36,0,1.18094,4.20E-05,5.10E-05,0.000124,0.00233,0.097053,0,0.003325,6.60E-05,0.000665,0.004496,0.004656,46,2.20E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-4.scen:
60.0007,22745,60009,3551895,6266122,-1,53,29,46,7094,18685,0,1,0,4,10186,0,34941,23965,40.3803,0.074688,0.522288,0.146592,3.12506,9.12808,0.396957,0.402601,0.170313,0.179308,2.58791,3.28564,73415,2.50E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-5.scen:
60,8181,16362,799834,1369745,-1,53,29,46,20,8176,0,1,0,4,0,0,15304,0,54.5341,0.014541,0.018359,0.027728,0.837736,3.24886,0,0.329352,0.031841,0.039518,0.560404,0.617386,16398,2.50E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-5.scen:
3.50E-05,0,1,19,45,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,5.00E-06,0,0,0,3.00E-06,0,0,0,0,0,0,2.50E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-6.scen:
4.10E-05,0,1,19,45,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-06,0,0,0,0,0,0,0,0,0,0,3.20E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-6.scen:
