runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,duplicate conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of duplicate conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,num_of_descendants,preprocessing runtime,solver name,instance name
0.690198,499,1376,16136,28699,19,19,10,12,125,94,0,0,0,115,446,0,896,822,0.167762,0.002148,0.008513,0.001104,0.007487,0.251638,0.006296,0.002383,0.002755,0.00256,0.019548,0.033136,2617,1.1e-05,WDG+GR+GC+M+BP+DUP with AStar,input/SmallSpecialMaps/LetterY1-3-1.scen:
0.030554,58,112,1653,2712,19,19,10,12,8,36,0,0,0,21,0,0,121,0,0.019109,0.000138,0.000154,6.5e-05,0.000446,0.005293,0,0.000693,0.000207,0.000182,0.00201,0.002481,122,1.6e-05,WDG+GR+GC+M+BP with AStar,input/SmallSpecialMaps/LetterY1-3-1.scen:
0.038239,53,128,1242,2266,15,15,4,10,8,8,0,1,0,27,18,0,140,62,0.025971,0.000513,0.000658,6.1e-05,0.000649,0.006419,0.000392,0.000259,0.000174,0.000176,0.001325,0.002377,195,1.3e-05,WDG+GR+GC+M+BP+DUP with AStar,input/SmallSpecialMaps/LetterY1-3-3.scen:
0.008,12,21,264,458,15,15,4,10,1,4,0,1,0,6,0,0,24,0,0.005832,0.000113,2.5e-05,8e-06,9.1e-05,0.001116,0,0.0001,2.4e-05,2.1e-05,0.000256,0.000357,24,8e-06,WDG+GR+GC+M+BP with AStar,input/SmallSpecialMaps/LetterY1-3-3.scen:
0.006938,12,21,227,394,15,15,4,10,2,6,0,0,0,4,7,0,24,0,0.004634,5.1e-05,0.000119,1.4e-05,0.000102,0.001329,8.7e-05,9.2e-05,2.7e-05,2e-05,0.000223,0.000416,28,1.7e-05,WDG+GR+GC+M+BP+DUP with AStar,input/SmallSpecialMaps/LetterY1-3-4.scen:
0.00912,14,25,279,457,15,15,4,10,2,9,0,0,0,4,0,0,26,0,0.006164,7e-05,8.7e-05,1.3e-05,8.5e-05,0.001585,0,0.000142,6.4e-05,2.5e-05,0.00038,0.000555,29,3.7e-05,WDG+GR+GC+M+BP with AStar,input/SmallSpecialMaps/LetterY1-3-4.scen:
