runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,duplicate conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of duplicate conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,num_of_descendants,preprocessing runtime,solver name,instance name
24.2885,32880,99116,1126515,1893907,17,17,4,7,7861,3709,0,17,0,11103,20204,0,15104,132005,4.02143,0.396017,0.49698,0.083799,0.445035,9.11461,0.334597,0.031044,0.179019,0.149182,1.30087,2.11822,161556,1.60E-05,WDG+GR+GC+M+BP+DUP with AStar,input/SmallSpecialMaps/LetterH-3-1.scen:
0.717429,693,1351,18581,31095,17,17,4,7,118,504,0,4,0,185,0,0,1806,6,0.369669,0.002023,0.001657,0.001157,0.00553,0.174331,0,0.007728,0.002173,0.001641,0.019196,0.02472,1557,1.60E-05,WDG+GR+GC+M+BP with AStar,input/SmallSpecialMaps/LetterH-3-1.scen:
60.0001,259269,1035775,9982551,15283842,-1,13,4,4,4210,317,0,55,0,18340,597780,0,0,0,0,0,6.3078,0.065004,2.65368,19.7149,4.79404,0.279785,1.59138,1.48634,11.5653,20.6269,1497744,1.60E-05,ICBS+GR+GC+M+BP+DUP with AStar,input/SmallSpecialMaps/LetterH-3-1.scen:
0.416039,1094,2044,30619,48811,17,17,4,4,88,445,0,29,0,620,0,0,0,0,0,0,0.002697,0.001157,0.006923,0.30517,0,0.009131,0.003782,0.003082,0.037699,0.046104,2314,8.00E-06,ICBS+GR+GC+M+BP with AStar,input/SmallSpecialMaps/LetterH-3-1.scen:
36.4489,76918,221979,2363439,3996217,17,17,4,7,12153,26909,0,1847,0,0,71077,0,64066,255672,20.2036,0.91085,1.32196,0.18852,1.25879,0,0.952751,0.176156,0.475329,0.406835,3.14718,5.28501,389046,2.70E-05,WDG+GR+GC+BP+DUP with AStar,input/SmallSpecialMaps/LetterH-3-1.scen:
0.835529,1129,2198,29550,48832,17,17,4,7,173,1076,0,53,0,0,0,0,3374,41,0.7011,0.006607,0.002991,0.002044,0.012825,0,0,0.013404,0.003508,0.002915,0.033776,0.043781,2496,1.90E-05,WDG+GR+GC+BP with AStar,input/SmallSpecialMaps/LetterH-3-1.scen:
60.0004,233562,563793,7126768,11484353,-1,16,4,7,32470,74165,0,3176,36083,0,217600,0,84146,528622,28.5632,1.15208,2.99487,0.338974,1.89318,0,2.1336,0.33667,1.16614,1.00215,8.00516,12.9541,1064516,1.80E-05,WDG+GR+GC+T+BP+DUP with AStar,input/SmallSpecialMaps/LetterH-3-1.scen:
0.407526,676,1199,19113,31156,17,17,4,7,125,514,0,27,135,0,0,0,1934,1,0.324741,0.002613,0.001341,0.001058,0.005421,0,0,0.007442,0.001725,0.001336,0.016524,0.021258,1516,1.1e-05,WDG+GR+GC+T+BP with AStar,input/SmallSpecialMaps/LetterH-3-1.scen:
