runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,duplicate conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of duplicate conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,num_of_descendants,preprocessing runtime,solver name,instance name
60.1204,769,1539,763851,1116930,-1,1139,1082,1131,101,158,147,59,0,405,48,0,241,1151,51.1074,0.055427,0.140694,0.033119,0.010769,7.87057,0.131889,0.13574,0.002116,0.059868,0.727104,0.874762,1665,0.005528,WDG+GR+GC+M+BP+DUP with AStar,input/scen-random-32-32-20/random-32-32-20-random-1.scen:
60.0002,561,1123,481950,724864,-1,1139,1082,1131,96,128,115,46,0,272,0,0,226,863,52.0341,0.046785,0.006056,0.040689,0.008645,7.24275,0,0.125044,0.001582,0.029118,0.463455,0.475037,1241,0.008947,WDG+GR+GC+M+BP with AStar,input/scen-random-32-32-20/random-32-32-20-random-1.scen:
0.096611,55,109,13985,40212,1119,1119,1099,1113,27,20,11,13,0,10,0,0,96,42,0.042368,0.000732,0.014639,0.003158,0.001602,0.01259,0.013762,0.004122,0.000195,0.002189,0.012996,0.027921,156,0.005446,WDG+GR+GC+M+BP+DUP with AStar,input/scen-random-32-32-20/random-32-32-20-random-2.scen:
0.143818,55,109,13985,40212,1119,1119,1099,1113,27,20,11,13,0,10,0,0,96,42,0.073381,0.001404,0.001395,0.00577,0.003027,0.020454,0,0.007522,0.000334,0.003713,0.023157,0.025215,156,0.009588,WDG+GR+GC+M+BP with AStar,input/scen-random-32-32-20/random-32-32-20-random-2.scen:
0.932658,898,1797,369418,848583,1018,1018,1007,1012,670,645,24,116,0,113,0,0,208,1171,0.205056,0.009721,0.216754,0.008783,0.019909,0.076131,0.202242,0.013328,0.003194,0.035084,0.35093,0.577721,2927,0.006273,WDG+GR+GC+M+BP+DUP with AStar,input/scen-random-32-32-20/random-32-32-20-random-3.scen:
0.999816,898,1797,369418,848583,1018,1018,1007,1012,670,645,24,116,0,113,0,0,208,1171,0.24921,0.01628,0.020441,0.014594,0.031867,0.088595,0,0.018176,0.00483,0.048921,0.515745,0.550698,2927,0.006594,WDG+GR+GC+M+BP with AStar,input/scen-random-32-32-20/random-32-32-20-random-3.scen:
9.01929,2754,5509,1271489,2859979,1059,1059,1035,1052,1402,2187,348,104,0,115,1,0,2914,4090,4.75657,0.040437,0.956592,0.154938,0.043485,1.00436,0.903738,0.224096,0.017748,0.184571,1.60926,2.60347,7985,0.009766,WDG+GR+GC+M+BP+DUP with AStar,input/scen-random-32-32-20/random-32-32-20-random-4.scen:
7.34245,2754,5509,1271489,2859979,1059,1059,1035,1052,1402,2187,348,104,0,115,0,0,2914,4090,4.32758,0.035208,0.041881,0.145201,0.036951,0.93732,0,0.202675,0.015121,0.162525,1.41691,1.49247,7985,0.005913,WDG+GR+GC+M+BP with AStar,input/scen-random-32-32-20/random-32-32-20-random-4.scen:
60.0008,78464,156929,15114216,39813639,-1,1245,1216,1235,21375,54956,1425,12027,0,10056,0,0,12628,180134,9.42854,1.14998,19.2162,1.37541,3.32213,3.33434,18.0606,0.254358,0.298866,2.39586,17.8812,37.8514,193615,0.005261,WDG+GR+GC+M+BP+DUP with AStar,input/scen-random-32-32-20/random-32-32-20-random-5.scen:
55.6007,107597,215193,21269471,55706638,1246,1246,1216,1235,31066,74439,2224,16949,0,13984,0,0,16550,256643,11.8925,1.53934,1.40361,1.84518,4.77189,4.50856,0,0.318296,0.390727,2.94332,23.8908,26.3351,268215,0.006985,WDG+GR+GC+M+BP with AStar,input/scen-random-32-32-20/random-32-32-20-random-5.scen:
