runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,duplicate conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of duplicate conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,num_of_descendants,preprocessing runtime,solver name,instance name
0.0436,35,74,1046,1869,16,16,6,9,12,14,0,1,0,19,17,0,88,1,0.019873,0.000212,0.000393,8.7e-05,0.000179,0.012907,0.000236,0.000451,0.000103,0.000118,0.001257,0.001878,89,2.3e-05,WDG+GR+GC+M+BP+DUP with AStar,input/SmallComplicated/SmallTree.scen:
0.019935,33,63,913,1612,16,16,6,9,8,15,0,1,0,17,0,0,85,0,0.012667,0.000205,7.4e-05,5.5e-05,0.000143,0.004491,0,0.00031,7.7e-05,8.8e-05,0.000885,0.001133,78,2.5e-05,WDG+GR+GC+M+BP with AStar,input/SmallComplicated/SmallTree.scen:
