"runtime","#high-level expanded","#high-level generated","#low-level expanded","#low-level generated","solution cost","min f value","root g value","root f value","#adopt bypasses","standard conflicts","rectangle conflicts","corridor conflicts","target conflicts","mutex conflicts","duplicate conflicts","#merge MDDs","#solve 2 agents","#memoization","runtime of building heuristic graph","runtime of solving MVC","runtime of detecting conflicts","runtime of rectangle conflicts","runtime of corridor conflicts","runtime of mutex conflicts","runtime of duplicate conflicts","runtime of building MDDs","runtime of building constraint tables","runtime of building CATs","runtime of path finding","runtime of generating child nodes","num_of_descendants","preprocessing runtime","solver name","instance name"
0.006031,13,23,643,1078,23,23,13,20,4,3,0,4,0,5,2,0,25,0,0.004094,2.3E-05,5.9E-05,4E-06,0.000173,0.000936,4.1E-05,0.000106,1E-05,1.9E-05,0.000272,0.000348,29,1.2E-05,"WDG+GR+GC+M+BP+DUP with AStar","input/SmallSpecialMaps/Connector1-3.scen:"
0.005926,13,23,643,1078,23,23,13,20,4,3,0,4,0,5,0,0,25,0,0.003949,2.5E-05,1.5E-05,6E-06,0.000183,0.001008,0,0.00011,1.1E-05,1.7E-05,0.000296,0.000327,29,1.1E-05,"WDG+GR+GC+M+BP with AStar","input/SmallSpecialMaps/Connector1-3.scen:"
0.015997,26,48,1399,2214,33,33,18,27,4,6,0,8,0,11,0,0,85,6,0.011344,7.8E-05,0.000101,1.8E-05,0.000691,0.002038,7E-05,0.000186,1.3E-05,3.4E-05,0.000579,0.00072,54,1.1E-05,"WDG+GR+GC+M+BP+DUP with AStar","input/SmallSpecialMaps/Connector1-4.scen:"
0.014447,26,48,1399,2214,33,33,18,27,4,6,0,8,0,11,0,0,85,6,0.009981,8E-05,3.3E-05,1.6E-05,0.000701,0.002092,0,0.000186,1.7E-05,3.8E-05,0.000587,0.000658,54,1E-05,"WDG+GR+GC+M+BP with AStar","input/SmallSpecialMaps/Connector1-4.scen:"
60.0001,55567,281231,5600440,9930645,-1,24,11,19,30734,6844,0,12,0,821,93598,0,44226,295818,13.5199,0.156313,0.692137,0.19063,1.12391,20.6578,0.516021,0.139005,0.298953,0.256535,3.07494,4.06244,437102,1e-05,WDG+GR+GC+M+BP+DUP with AStar,input/SmallSpecialMaps/Connector2-3.scen:
1.83177,3595,6962,220701,326901,28,28,11,19,765,2951,0,29,0,615,0,0,8116,12,1.10048,0.003181,0.003522,0.004125,0.025223,0.379893,0,0.045019,0.005083,0.005248,0.094963,0.104407,8297,1.1e-05,WDG+GR+GC+M+BP with AStar,input/SmallSpecialMaps/Connector2-3.scen:
60,58547,378321,8757573,12944164,-1,34,14,25,11435,6803,0,32,0,975,110599,0,46592,493011,10.6793,0.228688,0.838708,0.241384,1.90072,20.6628,0.575576,0.118019,0.295353,0.267721,3.96178,5.15792,479101,1e-05,WDG+GR+GC+M+BP+DUP with AStar,input/SmallSpecialMaps/Connector2-4.scen:
60.003,44642,84128,2665212,3800481,-1,38,14,25,10172,35574,0,305,0,8763,0,0,157578,11334,29.3524,0.058892,0.06965,0.133972,0.761826,16.0181,0,0.902267,0.08198,0.074271,1.26582,1.43556,102303,1.1e-05,WDG+GR+GC+M+BP with AStar,input/SmallSpecialMaps/Connector2-4.scen:
