runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,duplicate conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of duplicate conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,num_of_descendants,preprocessing runtime,solver name,instance name
60,9342,11026,369129,435365,-1,108,6,55,9,0,0,4,0,9,11007,0,1500,9343,57.2508,0.003114,0.02466,3.1e-05,0.139404,2.0034,0.024346,0.007766,0.028098,0.049258,0.153804,0.194075,37374,9e-06,WDG+GR+GC+M+BP+DUP with AStar,input/SmallSpecialMaps/line-1-5.scen:
60.0042,356,656,169003,201369,-1,257,6,55,0,0,0,17,0,339,0,0,516,132,56.0125,0.000529,0.000387,0.000476,0.051426,3.66348,0,0.081578,0.004059,0.070404,0.130144,0.132024,712,9e-06,WDG+GR+GC+M+BP with AStar,input/SmallSpecialMaps/line-1-5.scen:
67.5492,26318,31606,1207602,1399368,-2,119,6,55,9,0,0,4,0,9,31587,0,1687,29919,63.2118,0.007736,0.066245,3.8e-05,0.391767,2.37964,0.06566,0.008785,0.087592,0.12856,0.473308,0.58508,105278,6e-06,WDG+GR+GC+M+BP+DUP with AStar,input/SmallSpecialMaps/line-1-5.scen:
100.008,604,1137,292368,358345,-1,279,6,55,0,0,0,25,0,579,0,0,807,329,93.0346,0.000871,0.000648,0.00081,0.098989,6.403,0,0.130331,0.007582,0.111397,0.219891,0.224669,1208,9e-06,WDG+GR+GC+M+BP with AStar,input/SmallSpecialMaps/line-1-5.scen:
