"runtime","#high-level expanded","#high-level generated","#low-level expanded","#low-level generated","solution cost","min f value","root g value","root f value","#adopt bypasses","standard conflicts","rectangle conflicts","corridor conflicts","target conflicts","mutex conflicts","duplicate conflicts","#merge MDDs","#solve 2 agents","#memoization","runtime of building heuristic graph","runtime of solving MVC","runtime of detecting conflicts","runtime of rectangle conflicts","runtime of corridor conflicts","runtime of mutex conflicts","runtime of duplicate conflicts","runtime of building MDDs","runtime of building constraint tables","runtime of building CATs","runtime of path finding","runtime of generating child nodes","num_of_descendants","preprocessing runtime","solver name","instance name"
500.004,7683,24698,785276,1144135,-1,102,7,56,1,0,0,3,0,2,24692,0,8317,477,479.596,0.005973,0.099426,0.008676,0.773911,16.4248,0.089859,0.313494,0.040891,1.39521,1.76251,1.88253,30723,7E-06,"WDG+GR+GC+M+BP+DUP with AStar","input/SmallSpecialMaps/line-1-6.scen:"
60.0027,804,2543,86913,124620,-1,102,7,56,1,0,0,3,0,2,2537,0,911,4,57.5949,0.000744,0.010534,0.001361,0.068268,1.99684,0.009699,0.029962,0.003811,0.183014,0.222757,0.235531,3207,8E-06,"WDG+GR+GC+M+BP+DUP with AStar","input/SmallSpecialMaps/line-1-6.scen:"
500.003,2248,4300,1493510,1810976,-1,325,7,56,0,0,0,70,0,2178,0,0,2552,1745,463.715,0.002839,0.002604,0.00463,0.593658,33.405,0,0.61973,0.038561,0.516872,1.07672,1.1127,4496,1E-05,"WDG+GR+GC+M+BP with AStar","input/SmallSpecialMaps/line-1-6.scen:"
60.0115,298,558,148286,176682,-1,256,7,56,0,0,0,18,0,280,0,0,421,129,55.951,0.000422,0.0003,0.000324,0.051189,3.76021,0,0.081039,0.003449,0.067552,0.118146,0.11976,596,8e-06,WDG+GR+GC+M+BP with AStar,input/SmallSpecialMaps/line-1-6.scen:
